,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2002-02-13,1.6201285465771207,1.6933500112622157,1.6032959779861902,1.6916667222976685,76216000,0.0,0.0
1,2002-02-14,1.7127074631238088,1.7160738807425333,1.6706261994624243,1.6832505464553833,11021600,0.0,0.0
2,2002-02-15,1.6832505361902157,1.6874585983197792,1.6580018423582747,1.6748342514038086,8389600,0.0,0.0
3,2002-02-19,1.6664175486654444,1.6664175486654444,1.5780469818904739,1.607503890991211,7410400,0.0,0.0
4,2002-02-20,1.6159203121217993,1.6622096300125122,1.6032958067631924,1.6622096300125122,6892800,0.0,0.0
5,2002-02-21,1.6563186105982648,1.6706262470719662,1.6411693295640768,1.6580018997192383,6976800,0.0,0.0
6,2002-02-22,1.6706260677784912,1.6706260677784912,1.6159204614362133,1.628544807434082,3525600,0.0,0.0
7,2002-02-25,1.6243361497323954,1.6537930561839622,1.6058204579332058,1.6411687135696411,3453600,0.0,0.0
8,2002-02-26,1.6327524316510182,1.6580012774068866,1.6066621021777907,1.6411687135696411,2761600,0.0,0.0
9,2002-02-27,1.628544664998102,1.6293863093946503,1.599087753227926,1.611712098121643,4091200,0.0,0.0
10,2002-02-28,1.6159201736667415,1.6369608000919478,1.607503890991211,1.607503890991211,2751200,0.0,0.0
11,2002-03-01,1.6032963709871304,1.6453776422521713,1.5974050186943944,1.6302285194396973,1913600,0.0,0.0
12,2002-03-04,1.6369612672889295,1.6672596688300196,1.6344363336074694,1.6580018997192383,3180800,0.0,0.0
13,2002-03-05,1.649585183777812,1.6537932449538337,1.6125536354252938,1.6201282739639282,3444800,0.0,0.0
14,2002-03-06,1.6192868787895862,1.6352778026680967,1.6159204614362133,1.628544807434082,1316800,0.0,0.0
15,2002-03-07,1.6285446237002636,1.7337477626921767,1.6285446237002636,1.718598484992981,2700800,0.0,0.0
16,2002-03-08,1.7084992942035364,1.7674131293942597,1.7084992942035364,1.758996844291687,1600800,0.0,0.0
17,2002-03-11,1.7505800824071809,1.801077618741997,1.7463720212656306,1.7817202806472778,5462400,0.0,0.0
18,2002-03-12,1.7674125685363422,1.843158789368167,1.7674125685363422,1.7842451333999634,5819200,0.0,0.0
19,2002-03-13,1.7842454147538092,1.8094941055034177,1.7379559343431792,1.7690961360931396,5063200,0.0,0.0
20,2002-03-14,1.7690965478015337,1.7842458299877806,1.753947265615287,1.7674132585525513,1696800,0.0,0.0
21,2002-03-15,1.7674127629364396,1.7758290462939685,1.6748339670581278,1.7127071619033813,1708000,0.0,0.0
22,2002-03-18,1.71691553203789,1.71691553203789,1.603296087599418,1.6243367195129395,2207200,0.0,0.0
23,2002-03-19,1.636961077598454,1.6411691393859724,1.5654229035197658,1.5738391876220703,3229600,0.0,0.0
24,2002-03-20,1.5612146271495049,1.5612146271495049,1.4307627899259818,1.5166085958480835,9236000,0.0,0.0
25,2002-03-21,1.5166085589071978,1.6201284138361611,1.5166085589071978,1.5780471563339233,4427200,0.0,0.0
26,2002-03-22,1.578047393514105,1.6487439295857196,1.5578484061403985,1.6243367195129395,2494400,0.0,0.0
27,2002-03-25,1.641168963432392,1.6672592968777897,1.6142369856142718,1.659684658050537,7571200,0.0,0.0
28,2002-03-26,1.6832503617566472,1.691666645670883,1.6647346655671391,1.6815670728683472,1816800,0.0,0.0
29,2002-03-27,1.6815668944096953,1.7674126922753215,1.6748339000983077,1.7337477207183838,1369600,0.0,0.0
30,2002-03-28,1.7253314679086715,1.7337477510770907,1.691666495762245,1.700082778930664,1714400,0.0,0.0
31,2002-04-01,1.6874584412552247,1.6874584412552247,1.5990878605414707,1.603295922279358,1880000,0.0,0.0
32,2002-04-02,1.5990878007655591,1.5990878007655591,1.544382197581663,1.5687892436981201,2098400,0.0,0.0
33,2002-04-03,1.5696311933880605,1.582255541112309,1.551957138679571,1.5654231309890747,567200,0.0,0.0
34,2002-04-04,1.5612142614513127,1.6032955101214528,1.5612142614513127,1.594879388809204,763200,0.0,0.0
35,2002-04-05,1.5948797005432636,1.632752735432692,1.5561648607254028,1.5561648607254028,837600,0.0,0.0
36,2002-04-08,1.56542273784115,1.56542273784115,1.495567860081561,1.540173888206482,1558400,0.0,0.0
37,2002-04-09,1.5317575158039938,1.6159200131442744,1.5317575158039938,1.594879388809204,3562400,0.0,0.0
38,2002-04-10,1.5906718429150188,1.6032961907700403,1.5780474950599974,1.5923551321029663,1302400,0.0,0.0
39,2002-04-11,1.5915132173785103,1.5915132173785103,1.557006597518921,1.557006597518921,1444000,0.0,0.0
40,2002-04-12,1.5696307720217604,1.5696307720217604,1.5199748785128215,1.5359658002853394,1236000,0.0,0.0
41,2002-04-15,1.5317573209481337,1.562897351107448,1.53091567681853,1.5620557069778442,1559200,0.0,0.0
42,2002-04-16,1.5780473225995115,1.6159205225528097,1.5780473225995115,1.5990879535675049,1225600,0.0,0.0
43,2002-04-17,1.6201283732438745,1.7042908861396602,1.6201283732438745,1.6672593355178833,3348800,0.0,0.0
44,2002-04-18,1.6672593355178833,1.6958746027446308,1.6613679852995389,1.6672593355178833,984800,0.0,0.0
45,2002-04-19,1.6672594972764703,1.712707335702655,1.6672594972764703,1.7059743404388428,646400,0.0,0.0
46,2002-04-22,1.6958748934483425,1.6958748934483425,1.6672596213164184,1.6832505464553833,772800,0.0,0.0
47,2002-04-23,1.6790418080739555,1.7042904918910848,1.6411686218210448,1.6453766822814941,824800,0.0,0.0
48,2002-04-24,1.6428519620399855,1.65042659952951,1.632752391878212,1.633594036102295,1064800,0.0,0.0
49,2002-04-25,1.6335941820266204,1.6335941820266204,1.613395200425978,1.632752537727356,1727200,0.0,0.0
50,2002-04-26,1.6243363351399498,1.6479018950965056,1.6201282739639282,1.6201282739639282,1653600,0.0,0.0
51,2002-04-29,1.6117121685581233,1.6117121685581233,1.5822552555005953,1.5906715393066406,2562400,0.0,0.0
52,2002-04-30,1.578047230797504,1.6243365520233246,1.573839169059617,1.603295922279358,6894400,0.0,0.0
53,2002-05-01,1.6243363511729756,1.725331425666809,1.6243363511729756,1.725331425666809,1672000,0.0,0.0
54,2002-05-02,1.7169150233033517,1.7665709127480398,1.7169150233033517,1.7531049251556396,3316000,0.0,0.0
55,2002-05-03,1.7505799531936646,1.7514215974652998,1.7303809722561103,1.7505799531936646,463200,0.0,0.0
56,2002-05-06,1.749738645490589,1.9012310980275267,1.749738645490589,1.83053457736969,2146400,0.0,0.0
